Time [hour],Load [MWh],Actual_Load [MWh],Price [Euro/kWh],Actual_Price [Euro/kWh]
,predicted load,actual_load,predicted price,actual_price
0,27658.797,27179,,
1,26352.781,25187,,
2,25030.98,24108,,
3,24490.918,23636,,
4,24391.082,23588,,
5,24564.455,24238,,
6,25296.613,26976,,
7,28139.637,31451,,
8,33063.594,33670,,
9,34140.77,34347,,
10,33617.016,34418,,
11,33228.594,34181,,
12,32841.05,33765,,
13,32401.49,33610,,
14,32397.275,32578,,
15,31170.254,31914,,
16,30770.734,31475,,
17,30548.223,31112,,
18,30314.613,32036,,
19,31645.375,33625,,
20,33358.066,33920,,
21,32997.875,33354,,
22,32042.316,31161,,
23,29516.008,28738,,
24,27506.715,26945,,
25,26353.912,25067,,
26,25033.482,23687,,
27,24164.457,22880,,
28,23752.78,22593,,
29,23726.117,22518,,
30,23817.973,23113,,
31,24436.945,24452,,
32,25737.305,25998,,
33,27195.629,28380,,
34,29484.203,29971,,
35,30648.756,30290,,
36,30269.623,29814,,
37,29388.512,29594,,
38,29200.79,28734,,
39,28301.55,27421,,
40,27088.768,26528,,
41,26481.129,26344,,
42,26575.914,27641,,
43,28137.7,29465,,
44,30072.41,30173,,
45,30334.977,30122,,
46,29849.945,28697,,
47,28109.11,26843,,
48,26435.287,24612,,
49,24667.885,22870,,
50,23489.785,21697,,
51,22799.57,21016,,
52,22469.646,20658,,
53,22352.223,20733,,
54,22530.156,21144,,
55,22958.4,21922,,
56,23671.268,22502,,
57,24186.127,24485,,
58,25964.605,26315,,
59,27653.98,26969,,
60,27888.633,26756,,
61,27271.375,26832,,
62,27230.656,26455,,
63,26804.176,25237,,
64,25619.46,24496,,
65,25059.766,24114,,
66,24877.957,25624,,
67,26509.703,28236,,
68,29309.348,29552,,
69,30216.941,29543,,
70,29532.238,28444,,
71,28076.932,26220,,
72,25930.164,24122,,
73,24325.383,22657,,
74,23391.438,21870,,
75,23005.895,21439,,
76,22863.828,21345,,
77,22934.143,22150,,
78,23714.057,25276,,
79,26767.105,29686,,
80,31501.07,32059,,
81,33014.547,32870,,
82,32605.578,33019,,
83,32201.438,32822,,
84,31807.182,32407,,
85,31342.504,32386,,
86,31492.357,31401,,
87,30296.393,30858,,
88,29994.02,30294,,
89,29571.445,29974,,
90,29422.223,30754,,
91,30526.57,32988,,
92,33131.63,33767,,
93,33181.61,32938,,
94,31626.336,30345,,
95,28726.521,27486,,
96,26413.414,25706,,
97,25386.441,24117,,
98,24402.545,23173,,
99,23907.082,22750,,
100,23789.879,22715,,
101,23936.68,23436,,
